,load,type,compressor,iteration,avg_time,std_dev,min_time,max_time,q1,median_time,q3,iqr,lower_whisker,upper_whisker,num_outliers
0,OIL-MAMMO,ANOTHER-CONTROL,BZ2,-1,64.9122462272644,0.0,64.9122462272644,64.9122462272644,64.9122462272644,64.9122462272644,64.9122462272644,0.0,64.9122462272644,64.9122462272644,0.0
1,OIL-MAMMO,ANOTHER-CONTROL,ENTROPY,-1,62.90541338920593,0.0,62.90541338920593,62.90541338920593,62.90541338920593,62.90541338920593,62.90541338920593,0.0,62.90541338920593,62.90541338920593,0.0
2,OIL-MAMMO,ANOTHER-CONTROL,GZIP,-1,91.86520266532898,0.0,91.86520266532898,91.86520266532898,91.86520266532898,91.86520266532898,91.86520266532898,0.0,91.86520266532898,91.86520266532898,0.0
3,OIL-MAMMO,ANOTHER-CONTROL,PPMD,-1,72.82743763923645,0.0,72.82743763923645,72.82743763923645,72.82743763923645,72.82743763923645,72.82743763923645,0.0,72.82743763923645,72.82743763923645,0.0
4,OIL-MAMMO,ANOTHER-CONTROL,ZLIB,-1,74.39995884895325,0.0,74.39995884895325,74.39995884895325,74.39995884895325,74.39995884895325,74.39995884895325,0.0,74.39995884895325,74.39995884895325,0.0
5,OIL-MAMMO,API,BZ2,6,9.525405883789062,0.0,9.525405883789062,9.525405883789062,9.525405883789062,9.525405883789062,9.525405883789062,0.0,9.525405883789062,9.525405883789062,0.0
6,OIL-MAMMO,API,ENTROPY,18,31.699370861053467,0.0,31.699370861053467,31.699370861053467,31.699370861053467,31.699370861053467,31.699370861053467,0.0,31.699370861053467,31.699370861053467,0.0
7,OIL-MAMMO,API,GZIP,13,27.36434030532837,0.0,27.36434030532837,27.36434030532837,27.36434030532837,27.36434030532837,27.36434030532837,0.0,27.36434030532837,27.36434030532837,0.0
8,OIL-MAMMO,API,PPMD,8,12.840978384017944,0.0,12.840978384017944,12.840978384017944,12.840978384017944,12.840978384017944,12.840978384017944,0.0,12.840978384017944,12.840978384017944,0.0
9,OIL-MAMMO,API,ZLIB,19,32.021472454071045,0.0,32.021472454071045,32.021472454071045,32.021472454071045,32.021472454071045,32.021472454071045,0.0,32.021472454071045,32.021472454071045,0.0
10,OIL-MAMMO,CONC,BZ2,3,5.575012922286987,0.0,5.575012922286987,5.575012922286987,5.575012922286987,5.575012922286987,5.575012922286987,0.0,5.575012922286987,5.575012922286987,0.0
11,OIL-MAMMO,CONC,ENTROPY,4,6.747031211853027,0.0,6.747031211853027,6.747031211853027,6.747031211853027,6.747031211853027,6.747031211853027,0.0,6.747031211853027,6.747031211853027,0.0
12,OIL-MAMMO,CONC,GZIP,2,5.880082368850708,0.0,5.880082368850708,5.880082368850708,5.880082368850708,5.880082368850708,5.880082368850708,0.0,5.880082368850708,5.880082368850708,0.0
13,OIL-MAMMO,CONC,PPMD,6,9.401504755020142,0.0,9.401504755020142,9.401504755020142,9.401504755020142,9.401504755020142,9.401504755020142,0.0,9.401504755020142,9.401504755020142,0.0
14,OIL-MAMMO,CONC,ZLIB,2,3.794365882873535,0.0,3.794365882873535,3.794365882873535,3.794365882873535,3.794365882873535,3.794365882873535,0.0,3.794365882873535,3.794365882873535,0.0
15,OIL-MAMMO,LOGIC,BZ2,3,4.898709058761597,0.0,4.898709058761597,4.898709058761597,4.898709058761597,4.898709058761597,4.898709058761597,0.0,4.898709058761597,4.898709058761597,0.0
16,OIL-MAMMO,LOGIC,ENTROPY,3,5.481455564498901,0.0,5.481455564498901,5.481455564498901,5.481455564498901,5.481455564498901,5.481455564498901,0.0,5.481455564498901,5.481455564498901,0.0
17,OIL-MAMMO,LOGIC,GZIP,14,28.03029751777649,0.0,28.03029751777649,28.03029751777649,28.03029751777649,28.03029751777649,28.03029751777649,0.0,28.03029751777649,28.03029751777649,0.0
18,OIL-MAMMO,LOGIC,PPMD,5,8.871708869934082,0.0,8.871708869934082,8.871708869934082,8.871708869934082,8.871708869934082,8.871708869934082,0.0,8.871708869934082,8.871708869934082,0.0
19,OIL-MAMMO,LOGIC,ZLIB,18,29.677337646484375,0.0,29.677337646484375,29.677337646484375,29.677337646484375,29.677337646484375,29.677337646484375,0.0,29.677337646484375,29.677337646484375,0.0
20,OIL-MAMMO,MEMORY,BZ2,11,17.415188550949097,0.0,17.415188550949097,17.415188550949097,17.415188550949097,17.415188550949097,17.415188550949097,0.0,17.415188550949097,17.415188550949097,0.0
21,OIL-MAMMO,MEMORY,ENTROPY,19,32.72661232948303,0.0,32.72661232948303,32.72661232948303,32.72661232948303,32.72661232948303,32.72661232948303,0.0,32.72661232948303,32.72661232948303,0.0
22,OIL-MAMMO,MEMORY,GZIP,23,48.19864082336426,0.0,48.19864082336426,48.19864082336426,48.19864082336426,48.19864082336426,48.19864082336426,0.0,48.19864082336426,48.19864082336426,0.0
23,OIL-MAMMO,MEMORY,PPMD,6,9.84876275062561,0.0,9.84876275062561,9.84876275062561,9.84876275062561,9.84876275062561,9.84876275062561,0.0,9.84876275062561,9.84876275062561,0.0
24,OIL-MAMMO,MEMORY,ZLIB,22,47.91904044151306,0.0,47.91904044151306,47.91904044151306,47.91904044151306,47.91904044151306,47.91904044151306,0.0,47.91904044151306,47.91904044151306,0.0
25,OIL-MAMMO,MODEL,BZ2,19,37.1606342792511,0.0,37.1606342792511,37.1606342792511,37.1606342792511,37.1606342792511,37.1606342792511,0.0,37.1606342792511,37.1606342792511,0.0
